Plant Species,Gene ID,Developmental Stage,Stress Treatment,Soil Moisture (%),Temperature (°C),Promoter Methylation (%),Gene Body Methylation (%),TE Methylation (%),Global DNA Methylation (%),CG Methylation (%),CHG Methylation (%),CHH Methylation (%),Methylation Pattern Type,Histone Modification,siRNA Expression (FPKM),SNP Variants,Gene Expression (FPKM),Drought Resistance (1-10),Root Depth (cm),Leaf Area Index,Photosynthetic Rate (μmol CO₂/m²/s),Water Use Efficiency,Chlorophyll Content,Yield (g/plant)
Maize,ZmGLK1,Vegetative,Salt,61.23957593,29.9664621,37.80093202,46.23978081,52.61376255,45.55149179,52.22343967,33.72842011,17.45665407,Dynamic,None,14.9611601,15,59.85169605,5.320216076,35.97674093,4.099025727,21.8222406,1.267371792,38.01335211,51.37603026
Maize,ZmDREB2,Flowering,Drought,64.9623173,19.99184455,55.71172192,63.69658275,52.09026857,57.16619108,59.6253629,32.4823814,7.204119826,Dynamic,H3K9me2,45.5113599,35,41.95962931,3.437209859,23.39983812,4.736932106,22.0848798,0.73442044,35.91318438,58.69206482
Wheat,TaWRKY19,Seedling,Drought,46.40476148,28.66775698,39.24272278,78.78338511,84.88097705,67.63569498,79.52602152,58.02675538,22.93932174,Dynamic,H3K4me3,49.35090336,23,55.71185051,1,43.97273287,1.842803529,25.36627466,0.793911309,41.43954565,41.42801356
Rice,OsHKT1,Flowering,Salt,23.91896829,32.78354882,69.50877703,64.23839899,91.68353953,75.14357185,79.68455878,65.07312117,33.06433116,High,H3K4me3,19.4548803,46,27.80051467,1.135208939,44.82206871,,29.30951541,2.212588031,31.94499227,33.59829113
Wheat,TaDREB3,Flowering,None,60.52106648,20.89962299,20.24273291,41.61734358,81.97983004,47.94663551,40.48404511,32.3992006,8.663366379,Dynamic,H3K9me2,34.89185419,27,79.45818077,6.912769255,22.84043255,2.813252138,31.59364365,0.989642858,48.85707141,
Wheat,TaWRKY19,Vegetative,None,30.69435801,17.6373565,28.26138282,48.73761749,68.74294765,48.58064932,56.02865086,30.59308135,7.230509778,Dynamic,None,26.93742626,36,74.64206489,5.121218165,33.92803929,2.943070362,10.02081508,1.460591897,36.09562516,44.34970299
Rice,OsHKT1,Seedling,Drought,33.633062,38.5727426,46.1601466,60.75162487,81.63585315,62.84920821,59.4208996,55.85489788,30.48054099,Dynamic,H3K4me3,12.35831359,1,53.74709938,2.384405418,20.1976809,4.438257336,24.08572874,0.512158066,32.01563636,33.81941425
Rice,OsNAC10,Mature,Heat,48.70251623,29.8174181,34.04266632,54.78617824,60.89719722,49.90868059,55.9604027,34.34317396,24.62340863,Dynamic,H3K9me2,11.40193185,25,60.99440279,,70.26214858,2.602870176,24.26236086,2.541810341,42.45045849,47.60411127
Maize,ZmNAC111,Vegetative,Salt,34.40661911,17.40441378,77.02616322,55.90288084,73.29881077,68.74261828,78.02864904,52.95079226,27.09053424,Dynamic,None,28.13552595,31,24.00208745,1,31.2468449,5.928673373,24.53234852,1.171611901,44.9325666,38.21204029
Maize,ZmNAC111,Vegetative,None,29.52099468,32.50894575,43.86644569,74.25297168,68.20286572,62.1074277,71.74078904,52.19330469,29.45469587,Dynamic,H3K27me3,24.5378808,34,59.83975749,3.478969407,57.16909409,3.489131066,47.6053377,3.417041086,35.67841949,51.41200447
Arabidopsis,AtMYB44,Seedling,None,22.31476769,15.45188409,29.75574861,47.15290837,66.49109531,47.79991743,52.46844976,37.68430625,10.67010391,Dynamic,H3K27me3,32.43261642,46,73.41545287,7.814250238,53.47670909,3.936678575,29.46968612,4.577444545,38.68788731,40.16160154
